"id","key1","key2","dtime"
3,160,90,196
3,90,160,336
3,160,191,176
3,191,32,288
3,32,67,232
3,67,75,112
3,75,69,104
3,69,73,289
3,73,70,127
3,70,78,96
3,78,84,104
3,84,75,120
3,75,77,72
3,77,32,248
3,32,82,152
3,82,69,136
3,69,72,104
3,72,67,152
3,67,70,152
3,70,32,88
3,32,160,152
3,160,71,120
3,71,74,104
3,74,78,144
3,78,72,144
3,72,70,144
3,70,75,224
3,75,70,104
3,70,160,128
3,160,191,88
3,191,32,120
3,32,71,168
3,71,72,120
3,72,66,368
3,66,67,304
3,67,74,120
3,74,84,144
3,84,76,136
3,76,66,312
3,66,89,136
3,89,90,144
3,90,190,208
3,190,67,200
3,67,77,120
3,77,32,272
3,32,82,168
3,82,32,96
3,32,82,184
3,82,74,80
3,74,85,176
3,85,74,168
3,74,72,216
3,72,78,264
3,78,84,120
3,84,32,128
3,32,67,168
3,67,75,88
3,75,69,112
3,69,73,297
3,73,70,162
3,70,78,109
3,78,84,80
3,84,75,96
3,75,84,88
3,84,81,200
3,81,32,184
3,32,8,496
3,8,160,128
3,160,191,104
3,191,32,328
3,32,67,280
3,67,74,104
3,74,85,128
3,85,75,176
3,75,70,88
3,70,67,176
3,67,89,104
3,89,83,136
3,83,219,168
3,219,32,344
3,32,67,128
3,67,32,128
3,32,82,168
3,82,74,88
3,74,76,112
3,76,84,120
3,84,82,192
3,82,67,216
3,67,74,80
3,74,86,192
3,86,32,112
3,32,88,432
3,88,84,144
3,84,67,184
3,67,78,112
3,78,66,112
3,66,32,88
3,32,66,136
3,66,32,80
3,32,85,160
3,85,70,88
3,70,72,104
3,72,70,64
3,70,89,152
3,89,78,216
3,78,66,272
3,66,72,144
3,72,69,240
3,69,190,136
3,190,67,216
3,67,8,512
3,8,160,144
3,160,191,104
3,191,32,168
3,32,88,184
3,88,78,112
3,78,74,72
3,74,32,224
3,32,90,136
3,90,32,88
3,32,67,200
3,67,70,168
3,70,86,144
3,86,32,128
3,32,68,160
3,68,83,72
3,83,71,216
3,71,74,88
3,74,75,80
3,75,89,232
3,89,90,112
3,90,190,120
3,190,32,160
3,32,222,200
3,222,78,216
3,78,74,64
3,74,32,160
3,32,80,104
3,80,70,96
3,70,70,240
3,70,8,720
3,8,76,208
3,76,70,129
3,70,89,167
3,89,66,64
3,66,84,168
3,84,160,176
3,160,191,120
3,191,32,176
3,32,188,256
3,188,84,120
3,84,80,104
3,80,32,240
3,32,71,232
3,71,74,80
3,74,86,120
3,86,74,48
3,74,79,272
3,79,66,152
3,66,32,136
3,32,66,176
3,66,32,80
3,32,71,216
3,71,74,96
3,74,76,48
3,76,67,208
