"id","key1","key2","dtime"
36,164,9,125
36,161,67,225
36,67,78,784
36,78,84,255
36,84,71,272
36,71,70,144
36,70,89,225
36,89,74,223
36,74,68,168
36,68,70,192
36,70,32,192
36,32,161,608
36,161,70,233
36,70,89,479
36,89,70,152
36,70,67,312
36,67,78,252
36,78,70,132
36,70,67,240
36,67,66,288
36,66,90,352
36,90,32,225
36,32,161,639
36,161,70,200
36,70,89,544
36,89,76,501
36,76,72,387
36,72,84,288
36,84,84,160
36,84,68,345
36,68,89,783
36,89,70,176
36,70,161,3452
36,161,90,265
36,90,161,641
36,161,191,203
36,191,32,375
36,32,67,172
36,67,75,297
36,75,69,344
36,69,85,359
36,85,8,673
36,8,73,453
36,73,70,250
36,70,78,250
36,78,84,219
36,84,75,437
36,75,77,250
36,77,32,2188
36,32,82,594
36,82,69,172
36,69,72,422
36,72,67,265
36,67,70,203
36,70,32,422
36,32,161,704
36,161,161,500
36,161,161,47
36,161,161,31
36,161,161,31
36,161,161,31
36,161,161,32
36,161,161,31
36,161,161,31
36,161,161,31
36,161,161,47
36,161,161,31
36,161,161,32
36,161,71,15
36,71,74,703
36,74,72,266
36,72,78,266
36,78,70,234
36,70,75,328
36,75,70,141
36,70,161,1620
36,161,191,188
36,191,32,391
36,32,71,250
36,71,72,250
36,72,66,343
36,66,67,282
36,67,74,265
36,74,84,313
36,84,76,250
36,76,66,625
36,66,89,281
36,89,90,330
36,90,190,344
36,190,67,328
36,67,77,422
36,77,32,1047
36,32,82,281
36,82,32,187
36,32,82,235
36,82,74,203
36,74,85,547
36,85,74,203
36,74,72,188
36,72,78,215
36,78,84,185
36,84,32,678
36,32,67,234
36,67,75,266
36,75,69,186
36,69,73,359
36,73,70,141
36,70,78,234
36,78,84,141
36,84,75,343
36,75,84,141
36,84,81,469
36,81,161,547
36,161,191,234
36,191,32,406
36,32,67,204
36,67,74,250
36,74,85,312
36,85,75,282
36,75,70,187
36,70,67,250
36,67,89,516
36,89,83,281
36,83,219,406
36,219,32,641
36,32,67,500
36,67,32,188
36,32,82,109
36,82,74,250
36,74,76,391
36,76,84,203
36,84,82,250
36,82,67,312
36,67,74,282
36,74,86,250
36,86,32,406
36,32,88,770
36,88,84,281
36,84,67,281
36,67,78,234
36,78,66,314
36,66,32,656
36,32,66,609
36,66,32,235
36,32,85,343
36,85,70,719
36,70,72,235
36,72,70,109
36,70,89,188
36,89,78,312
36,78,66,328
36,66,72,250
36,72,69,313
36,69,190,344
36,190,161,1093
36,161,191,157
36,191,32,344
36,32,88,328
36,88,78,250
36,78,74,156
36,74,32,203
36,32,90,219
36,90,32,281
36,32,67,735
36,67,70,203
36,70,86,312
36,86,32,360
36,32,68,2521
36,68,83,188
36,83,71,281
36,71,74,234
36,74,75,188
36,75,89,234
36,89,90,188
36,90,190,362
36,190,32,266
36,32,222,1078
36,222,78,437
36,78,74,156
36,74,32,204
36,32,80,297
36,80,70,250
36,70,76,453
36,76,70,125
36,70,89,295
36,89,66,391
36,66,84,281
36,84,161,1172
36,161,191,266
36,191,32,390
36,32,188,219
36,188,84,453
36,84,80,438
36,80,32,277
36,32,71,234
36,71,74,204
36,74,86,422
36,86,74,234
36,74,79,359
36,79,66,719
36,66,32,1172
36,32,66,672
36,66,32,250
36,32,71,172
36,71,74,203
36,74,76,516
36,76,67,328
36,67,82,625
36,82,70,219
36,70,80,500
36,80,74,344
36,74,82,281
36,82,32,266
36,32,66,1344
36,66,80,375
36,80,68,390
36,68,89,541
36,89,84,453
36,84,32,1297
36,32,66,313
36,66,32,156
36,32,188,437
36,188,70,282
36,70,75,281
36,75,75,156
36,75,32,688
36,32,80,453
36,80,70,328
36,70,32,172
36,32,76,344
36,76,70,219
36,70,89,265
36,89,89,156
36,89,83,250
36,83,81,313
36,81,32,187
36,32,76,344
36,76,8,422
36,8,78,1172
36,78,84,157
36,84,67,421
36,67,78,297
36,78,32,1422
36,32,71,375
36,71,74,313
36,74,82,173
36,82,70,219
36,70,80,333
36,80,83,281
36,83,68,234
36,68,70,172
36,70,84,219
36,84,78,234
36,78,32,204
36,32,66,1359
36,66,86,344
36,86,84,250
36,84,89,520
36,89,89,125
36,89,74,344
36,74,32,687
36,32,86,516
36,86,74,218
36,74,84,188
36,84,32,453
36,32,80,828
36,80,89,407
36,89,66,484
36,66,8,641
36,8,70,344
36,70,89,408
36,89,66,265
36,66,84,235
36,84,32,1109
36,32,71,500
