"id","key1","key2","dtime"
39,160,73,424
39,73,70,1076
39,70,188,1371
39,188,72,415
39,72,69,254
39,69,82,232
39,82,74,253
39,74,68,290
39,68,32,716
39,32,160,380
39,160,70,305
39,70,75,912
39,75,84,248
39,84,82,201
39,82,67,425
39,67,84,390
39,84,81,497
39,160,160,500
39,160,160,31
39,160,160,31
39,160,160,31
39,160,160,32
39,160,90,15
39,90,160,1172
39,160,191,203
39,191,32,969
39,32,67,1203
39,67,75,204
39,75,69,343
39,69,73,391
39,73,70,297
39,70,78,265
39,78,84,250
39,84,75,344
39,75,77,344
39,77,32,375
39,32,82,875
39,82,69,250
39,69,72,391
39,72,67,297
39,67,70,1218
39,70,32,344
39,32,160,563
39,160,71,187
39,71,74,875
39,74,72,235
39,72,78,219
39,78,70,343
39,70,75,313
39,75,70,187
39,70,160,1125
39,160,191,188
39,191,32,531
39,32,71,906
39,71,72,204
39,72,66,437
39,66,67,328
39,67,74,235
39,74,84,281
39,84,76,344
39,76,66,359
39,66,89,281
39,89,90,328
39,90,190,641
39,190,67,406
39,67,77,250
39,77,32,344
39,32,82,1188
39,82,32,312
39,32,82,1344
39,82,74,297
39,74,85,328
39,85,74,188
39,74,72,218
39,72,78,219
39,78,84,360
39,84,32,343
39,32,67,782
39,67,75,312
39,75,69,313
39,69,73,375
39,73,70,265
39,70,78,266
39,78,84,281
39,84,75,328
39,75,84,219
39,84,81,360
39,81,160,515
39,160,191,219
39,191,32,609
39,32,67,563
39,67,74,359
39,74,85,266
39,85,75,594
39,75,70,297
39,70,67,281
39,67,66,344
39,66,68,594
39,68,73,484
39,73,66,437
39,66,219,907
39,219,67,312
39,67,90,282
39,90,8,1609
39,8,8,297
39,8,8,188
39,8,8,171
39,8,8,172
39,8,8,157
39,8,8,171
39,8,89,2954
39,89,83,187
39,83,219,438
39,219,32,156
39,32,67,2188
39,67,32,203
39,32,82,750
39,82,74,328
39,74,76,438
39,76,84,2015
39,84,82,250
39,82,67,344
39,67,74,1078
39,74,86,219
39,86,32,266
39,32,88,2484
39,88,84,313
39,84,67,265
39,67,78,203
39,78,66,219
39,66,32,469
39,32,66,688
39,66,32,234
39,32,85,1875
39,85,70,406
39,70,72,235
39,72,70,250
39,70,89,390
39,89,78,282
39,78,66,250
39,66,72,203
39,72,69,437
39,69,190,344
39,190,160,1000
39,160,191,110
39,191,32,437
39,32,88,688
39,88,78,156
39,78,74,203
39,74,32,141
39,32,90,437
39,90,32,391
39,32,67,594
39,67,70,203
39,70,86,218
39,86,32,188
39,32,68,1250
39,68,83,172
39,83,71,406
39,71,74,282
39,74,75,218
39,75,89,407
39,89,90,1031
39,90,190,328
39,190,32,203
39,32,222,1141
39,222,78,391
39,78,74,218
39,74,32,407
39,32,80,281
39,80,70,437
39,70,76,391
39,76,70,219
39,70,89,328
39,89,66,234
39,66,84,360
39,84,160,953
39,160,191,344
39,191,32,437
39,32,188,438
39,188,84,250
39,84,80,328
39,80,32,219
39,32,71,859
39,71,74,516
39,74,86,375
39,86,74,484
39,74,79,344
39,79,66,359
39,66,32,297
39,32,66,907
39,66,32,218
39,32,71,235
39,71,74,234
39,74,76,453
39,76,67,391
39,67,82,266
39,82,70,187
39,70,80,391
39,80,74,437
39,74,82,297
39,82,32,891
39,32,66,750
39,66,80,250
39,80,68,766
39,68,89,375
39,89,84,234
39,84,32,891
39,32,66,297
39,66,32,156
39,32,188,1797
39,188,70,234
39,70,75,266
39,75,75,172
39,75,32,219
39,32,76,531
39,76,70,312
39,70,89,360
39,89,89,156
39,89,83,344
39,83,81,500
39,81,32,375
39,32,37,3938
39,37,37,125
39,37,37,203
39,37,37,203
39,37,37,172
39,37,37,172
39,37,37,156
39,37,80,1047
39,80,70,203
39,70,32,141
39,32,39,922
39,39,39,500
39,39,39,31
39,39,39,31
39,39,39,32
39,39,39,31
39,39,39,31
39,39,39,31
39,39,39,32
39,39,39,31
39,39,39,31
39,39,39,31
39,39,78,3485
39,78,84,234
39,84,67,329
39,67,78,156
39,78,32,406
39,32,71,563
39,71,82,656
39,82,70,437
39,70,80,219
39,80,83,391
39,83,68,328
39,68,70,219
39,70,84,359
39,84,78,1547
39,78,32,438
39,32,66,515
39,66,86,235
39,86,84,265
39,84,89,266
39,89,89,187
39,89,74,876
39,74,32,437
39,32,86,703
39,86,74,250
39,74,84,328
39,84,32,266
39,32,80,750
39,80,89,391
39,89,70,359
39,70,89,484
39,89,66,251
39,66,84,1031
39,84,32,469
39,32,71,593
39,71,72,266
39,72,84,328
39,84,76,453
39,76,86,407
39,86,84,312
39,84,78,453
39,78,70,376
39,70,160,1328
39,160,220,265
39,220,78,1547
39,78,84,407
39,84,86,1328
39,86,191,750
39,191,8,1453
39,8,83,328
39,83,191,938
39,191,13,828
39,13,160,2250
39,160,160,500
39,86,74,438
39,74,66,312
39,66,8,4407
39,8,8,187
39,8,8,313
39,8,13,531
39,13,160,735
39,160,86,312
39,86,74,485
39,74,66,421
39,66,32,360
39,32,74,1281
39,74,78,250
39,78,68,516
39,68,84,328
39,84,78,250
39,78,83,328
39,83,32,625
39,32,89,531
39,89,70,282
39,70,32,359
39,32,76,922
39,76,70,281
39,70,89,250
39,89,89,188
39,89,74,234
39,74,84,281
39,84,32,282
39,32,80,656
39,80,70,281
39,70,76,266
39,76,70,219
39,70,89,297
39,89,66,218
39,66,84,344
39,84,32,234
39,32,90,1141
39,90,68,438
39,68,75,265
39,75,90,282
39,90,84,468
39,84,78,297
39,78,67,235
39,67,90,219
39,90,32,515
39,32,8,3766
39,8,8,172
39,8,8,188
39,8,8,812
39,8,8,360
39,8,190,828
39,190,78,437
39,78,67,313
39,67,90,140
39,90,32,329
39,32,72,562
39,72,84,297
39,84,80,313
39,80,69,328
39,69,75,297
39,75,77,234
39,77,78,406
39,78,68,266
39,68,8,641
39,8,70,156
39,70,78,390
39,78,74,532
39,74,86,328
39,86,32,1906
39,32,8,1922
39,8,8,406
39,8,8,454
39,8,70,4922
39,70,86,265
39,86,66,219
39,66,32,360
39,32,86,734
39,86,74,297
39,74,84,438
39,84,81,859
39,81,32,734
39,32,67,375
39,67,74,297
39,74,188,407
39,188,67,640
39,67,78,313
39,78,68,359
39,68,84,344
39,84,89,266
39,89,89,171
39,89,74,204
39,74,81,328
39,81,32,859
39,32,72,563
39,72,70,328
39,70,188,422
39,188,74,281
39,74,78,187
39,78,83,344
39,83,32,516
39,32,66,656
39,66,32,188
39,32,89,218
39,89,84,157
39,84,32,172
39,32,67,422
39,67,74,187
39,74,76,656
39,76,84,360
39,84,72,297
39,72,186,453
39,186,66,344
39,66,78,250
39,78,8,1765
39,8,8,282
39,8,70,640
39,70,78,313
39,78,32,328
39,32,71,2391
39,71,74,234
39,74,76,375
39,76,67,297
39,67,82,312
39,82,70,204
39,70,80,437
39,80,74,328
39,74,82,438
39,82,32,515
39,32,66,485
39,66,75,281
39,75,66,234
39,66,32,282
39,32,71,765
39,71,74,219
39,74,86,344
39,86,74,297
39,74,79,422
39,79,66,484
39,66,32,672
39,32,67,375
39,67,74,234
39,74,32,188
39,32,67,266
39,67,78,218
39,78,74,282
39,74,72,218
39,72,74,219
39,74,89,266
39,89,83,328
39,83,191,875
39,191,32,359
39,32,160,1047
39,160,90,250
39,90,32,532
39,32,71,437
39,71,72,235
39,72,66,218
39,66,67,1016
39,67,74,500
39,74,84,313
39,84,76,547
39,76,66,1062
39,66,89,719
39,89,90,203
39,90,190,641
39,190,67,422
39,67,77,531
39,77,32,391
39,32,82,1156
39,82,32,203
39,32,82,313
39,82,74,296
39,74,85,250
39,85,74,204
39,74,72,218
39,72,78,188
39,78,84,515
39,84,8,2376
39,8,8,172
39,8,8,171
39,8,8,172
39,8,8,172
39,8,8,172
39,8,8,188
39,8,8,187
39,8,32,1828
39,32,82,250
39,82,74,329
39,74,76,312
39,76,84,281
39,84,82,422
39,82,67,594
39,67,69,234
39,69,32,422
39,32,88,2204
39,88,84,328
39,84,67,265
39,67,78,297
39,78,66,219
39,66,32,360
39,32,160,593
39,160,71,250
39,71,74,391
39,74,72,234
39,72,78,219
39,78,70,453
39,70,75,532
39,75,70,140
39,70,32,328
39,32,66,3188
39,66,32,250
39,32,85,235
39,85,70,609
39,70,72,328
39,72,70,266
39,70,89,203
39,89,78,219
39,78,66,265
39,66,72,204
39,72,69,500
39,69,190,296
39,190,32,1251
39,32,88,718
39,88,84,391
39,84,67,875
39,67,78,234
39,78,89,313
39,89,74,219
39,74,67,281
39,67,78,531
39,78,77,219
39,77,32,1031
39,32,71,375
39,71,72,204
39,72,66,218
39,66,32,438
39,32,68,547
39,68,83,203
39,83,71,406
39,71,74,235
39,74,75,265
39,75,89,641
39,89,84,390
39,84,89,375
39,89,66,1391
39,66,66,250
39,66,32,485
39,32,80,672
39,80,70,296
39,70,76,313
39,76,70,250
39,70,89,297
39,89,66,265
39,66,81,1126
39,81,32,437
39,32,76,609
39,76,70,313
39,70,89,266
39,89,89,172
39,89,74,203
39,74,85,203
39,85,74,250
39,74,32,390
39,32,82,485
39,82,69,156
39,69,72,516
39,72,67,734
39,67,70,782
39,70,191,562
39,191,13,922
39,13,13,375
39,13,160,938
39,160,68,343
39,68,83,594
39,83,71,735
39,71,74,265
39,74,75,266
39,75,89,312
39,89,90,313
39,90,90,219
39,90,32,422
39,32,76,656
39,76,70,219
39,70,89,281
39,89,89,187
39,89,74,204
39,74,84,312
39,84,32,234
39,32,80,891
39,80,70,375
39,70,76,407
39,76,70,187
39,70,89,313
39,89,66,265
39,66,84,406
39,84,160,922
39,160,191,172
39,191,32,328
39,32,90,375
39,90,32,282
39,32,160,468
39,160,85,2594
39,85,70,829
39,70,72,297
39,72,70,203
39,70,89,453
39,89,78,265
39,78,66,282
39,66,72,281
39,72,69,375
39,69,190,344
39,190,32,390
39,32,8,782
39,8,160,172
39,160,191,156
39,191,32,469
39,32,88,640
39,88,78,172
39,78,74,250
39,74,32,407
39,32,71,656
39,71,8,687
39,8,72,532
39,72,84,328
39,84,80,281
39,80,69,328
39,69,75,266
39,75,77,469
39,77,78,562
39,78,70,391
39,70,78,1047
39,78,83,234
39,83,32,547
39,32,90,656
39,90,68,407
39,68,75,1203
39,75,90,265
39,90,190,657
39,190,78,484
39,78,67,516
39,67,90,250
39,90,32,1109
39,32,71,703
39,71,75,329
39,75,74,218
39,74,76,344
39,76,74,406
39,74,86,282
39,86,32,437
39,32,86,1032
39,86,74,265
39,74,84,797
39,84,81,313
39,81,32,2203
39,32,72,531
39,72,70,235
39,70,188,312
39,188,74,391
39,74,78,187
39,78,83,391
39,83,32,437
39,32,66,672
39,66,32,172
39,32,89,266
39,89,84,266
39,84,32,406
39,32,67,562
39,67,74,329
39,74,76,828
39,76,84,281
39,84,74,281
39,74,8,750
39,8,72,360
39,72,186,500
39,186,66,422
39,66,78,187
39,78,32,453
39,32,8,2719
39,8,8,203
39,8,8,188
39,8,70,609
39,70,78,532
39,78,32,484
39,32,71,1828
39,71,74,344
39,74,76,438
39,76,67,312
39,67,82,281
39,82,70,297
39,70,80,422
39,80,74,422
39,74,82,328
39,82,32,438
39,32,66,2281
39,66,75,156
39,75,66,172
39,66,32,266
39,32,71,578
39,71,74,313
39,74,86,328
39,86,74,219
39,74,186,593
39,186,66,360
39,66,32,609
39,32,67,422
39,67,74,219
39,74,32,234
39,32,67,281
39,67,78,297
39,78,74,266
39,74,72,281
39,72,74,203
39,74,89,266
39,89,83,359
39,83,191,875
39,191,32,1204
39,32,160,656
39,160,90,359
39,90,32,891
39,32,71,406
39,71,72,204
39,72,66,234
39,66,67,219
39,67,74,453
39,74,84,765
39,84,76,297
39,76,66,297
39,66,89,313
39,89,90,375
39,90,190,531
39,190,67,250
39,67,77,391
39,77,82,1766
39,82,32,328
39,32,82,453
39,82,74,703
39,74,76,781
39,76,84,282
39,84,82,453
39,82,67,375
39,67,69,484
39,69,32,1281
39,32,88,1188
39,88,84,360
39,84,67,296
39,67,78,250
39,78,66,313
39,66,32,1000
39,32,67,1000
39,67,75,469
39,75,69,391
39,69,73,1156
39,73,70,297
39,70,78,265
39,78,84,250
39,84,75,329
39,75,84,171
39,84,81,297
39,81,32,313
39,32,160,406
39,160,71,359
39,71,74,594
39,74,72,219
39,72,78,219
39,78,70,344
39,70,75,656
39,75,70,328
39,70,32,344
39,32,66,2156
39,66,32,297
39,32,74,766
39,74,188,343
39,188,90,329
39,90,80,312
39,80,69,406
39,69,190,579
39,190,67,250
39,67,77,375
39,77,32,375
39,32,88,875
39,88,84,359
39,84,67,266
39,67,78,265
39,78,89,297
39,89,74,235
39,74,32,437
39,32,68,485
39,68,83,187
39,83,71,313
39,71,74,297
39,74,75,203
39,75,89,297
39,89,90,328
39,90,78,297
