"id","key1","key2","dtime"
1,78,79,106
1,79,84,201
1,84,69,21
1,69,80,94
1,80,65,190
1,65,68,117
1,68,13,747
1,161,86,230
1,86,83,233
1,83,32,89
1,32,71,350
1,71,72,187
1,72,66,71
1,66,68,476
1,68,83,91
1,83,82,267
1,82,75,129
1,75,66,151
1,66,32,97
1,32,68,185
1,68,74,124
1,74,67,294
1,67,71,204
1,71,72,99
1,72,66,132
1,66,89,85
1,89,66,138
1,66,86,179
1,86,70,91
1,70,78,106
1,78,77,201
1,77,32,99
1,32,87,138
1,87,84,75
1,84,75,91
1,75,77,53
1,77,32,197
1,32,75,306
1,75,190,181
1,190,188,105
1,188,74,245
1,74,81,358
1,81,32,130
1,32,76,282
1,76,84,96
1,84,90,246
1,90,78,102
1,78,84,179
1,84,75,104
1,75,77,36
1,77,89,301
1,89,74,195
1,74,67,107
1,67,78,177
1,78,66,137
1,66,32,157
1,32,82,229
1,82,70,209
1,70,82,170
1,82,32,91
1,32,67,231
1,67,70,204
1,70,86,99
1,86,74,166
1,74,87,239
1,87,84,114
1,84,75,92
1,75,77,72
1,77,160,193
1,160,191,44
1,191,32,159
1,32,89,94
1,89,74,189
1,74,32,133
1,32,222,90
1,222,8,377
1,8,74,211
1,74,78,190
1,78,32,146
1,32,222,110
1,222,78,149
1,78,74,184
1,74,81,91
1,81,32,128
1,32,71,292
1,71,72,207
1,72,66,82
1,66,68,259
1,68,83,83
1,83,88,243
1,88,89,130
1,89,82,220
1,82,8,1648
1,8,8,165
1,8,82,231
1,82,66,266
1,66,32,226
1,32,89,828
1,89,69,278
1,69,186,102
1,186,89,204
1,89,74,198
1,74,32,135
1,32,66,244
1,66,80,75
1,80,188,327
1,188,70,94
1,70,68,184
1,68,75,110
1,75,90,149
1,90,78,75
1,78,77,214
1,77,67,100
1,67,90,99
1,90,191,170
1,191,32,162
1,32,161,94
1,161,84,135
1,84,67,257
1,67,75,119
1,75,66,121
1,66,32,97
1,32,71,218
1,71,74,68
1,74,67,260
1,67,78,151
1,78,70,127
1,70,68,105
1,68,66,185
1,66,78,97
1,78,77,217
1,77,32,83
1,32,67,162
1,67,84,201
1,84,188,80
1,188,84,104
1,84,32,72
1,32,87,248
1,87,84,201
1,84,75,163
1,75,77,88
1,77,32,208
1,32,71,274
1,71,74,83
1,74,219,245
1,219,69,116
1,69,76,156
1,76,84,102
1,84,78,402
1,78,77,201
1,77,32,116
1,32,89,154
1,89,70,85
1,70,32,91
1,32,51,235
1,51,48,201
1,48,32,223
1,32,82,179
1,82,66,267
1,66,75,102
1,75,74,88
1,74,85,237
1,85,72,179
1,72,70,69
1,70,86,214
1,86,86,140
1,86,32,217
1,32,80,171
1,80,70,142
1,70,32,153
1,32,51,185
1,51,32,171
1,32,86,369
1,86,84,225
1,84,67,251
1,67,90,110
1,90,87,285
1,87,70,229
1,70,160,248
1,160,191,29
1,191,32,132
1,32,86,190
1,86,74,146
1,74,186,63
1,186,89,204
1,89,74,214
1,74,32,169
1,32,80,233
1,80,70,113
1,70,72,102
1,72,70,108
1,70,188,219
1,188,74,110
1,74,78,196
1,78,70,80
1,70,78,129
1,78,77,201
1,77,32,118
1,32,67,182
1,67,78,30
1,78,74,218
1,74,81,152
1,81,82,218
1,82,74,118
1,74,84,208
1,84,32,112
1,74,78,305
1,78,68,714
1,68,72,186
1,72,70,93
1,70,79,233
1,79,84,106
1,84,89,151
1,89,66,116
1,66,84,225
1,84,32,102
1,32,82,205
1,82,74,110
1,74,32,93
1,32,68,193
1,68,67,209
1,67,84,195
1,84,86,273
1,86,32,96
1,32,89,227
1,89,70,116
1,70,32,93
1,32,68,213
1,68,8,413
1,8,67,63
1,67,68,257
1,68,84,222
1,84,78,110
1,78,84,113
1,84,32,142
1,32,65,421
1,65,66,207
1,66,78,265
1,78,89,227
1,89,84,58
1,84,67,309
1,67,32,116
1,32,8,660
1,8,189,658
1,189,82,162
1,82,75,154
1,75,69,619
1,69,188,390
1,188,70,362
1,70,86,587
1,86,160,597
1,160,191,88
1,191,32,114
1,32,68,256
1,68,74,124
1,74,80,567
1,80,89,531
1,89,84,165
1,84,89,165
1,89,70,405
1,70,68,371
1,68,66,217
1,66,76,143
1,76,84,214
1,84,78,94
1,78,77,386
1,77,32,1244
1,32,76,349
1,76,84,151
1,84,8,1180
1,8,66,66
1,66,84,243
1,84,78,503
1,78,66,71
1,66,88,331
1,88,84,281
1,84,67,602
1,67,82,286
1,82,66,545
1,66,84,297
1,84,32,119
1,32,219,245
1,219,75,286
1,75,84,113
1,84,188,165
1,188,87,501
1,87,83,1246
1,83,32,125
1,32,66,218
1,66,32,83
1,32,74,336
1,74,68,112
1,68,67,388
1,67,90,356
1,90,89,195
1,89,82,242
1,82,69,91
1,69,32,199
1,32,66,204
1,66,32,105
1,32,68,229
1,68,80,198
1,80,76,543
1,76,72,264
1,72,70,446
1,70,85,286
1,85,66,149
1,66,68,249
1,68,70,92
1,70,78,66
1,78,77,213
1,77,32,143
1,32,74,116
1,74,78,200
1,78,32,135
1,32,71,182
1,71,72,154
1,72,66,283
1,66,67,435
1,67,89,275
1,89,66,99
1,66,68,251
1,68,73,170
1,73,84,215
1,84,85,121
1,85,74,257
1,74,67,209
1,67,90,116
1,90,32,111
1,32,68,232
1,68,74,114
1,74,32,29
1,32,68,130
1,68,8,425
1,8,67,69
1,67,89,308
1,89,84,187
1,84,32,125
1,32,188,474
1,188,84,102
1,84,8,360
1,8,69,99
1,69,72,129
1,72,85,760
1,85,84,91
1,84,72,198
1,72,70,135
1,70,191,542
1,191,32,163
1,32,160,154
1,160,78,85
1,78,70,230
1,70,82,226
1,82,32,277
1,32,89,146
1,89,84,94
1,84,32,97
1,32,71,214
1,71,74,47
1,74,81,185
1,81,76,97
1,76,84,185
1,84,78,126
1,78,191,259
1,191,32,195
1,32,161,133
1,161,160,510
1,160,85,104
1,85,74,216
1,74,72,201
1,72,70,256
1,70,76,121
1,76,8,1364
1,8,80,250
1,80,76,286
1,76,74,105
1,74,32,1058
1,32,222,250
1,222,65,245
1,65,65,157
1,65,84,209
1,84,82,314
1,82,8,407
1,8,82,765
1,82,78,374
1,78,66,175
1,66,68,281
1,68,89,135
1,89,84,179
1,84,81,193
1,81,32,125
1,32,65,257
1,65,74,91
1,74,72,245
1,72,86,157
1,86,66,203
1,66,72,83
1,72,74,192
1,74,68,188
1,68,70,102
1,70,78,89
1,78,77,237
1,77,32,157
1,32,68,154
1,68,32,116
1,32,67,195
1,67,84,223
1,84,188,136
1,188,84,81
1,84,32,83
1,32,71,314
1,71,72,107
1,72,66,129
1,66,68,287
1,68,83,102
1,83,88,296
1,88,82,1616
1,82,69,124
1,69,32,534
1,32,189,814
1,189,32,253
1,32,82,475
1,82,32,205
1,32,76,181
1,76,72,187
1,72,69,113
1,69,85,116
1,85,74,211
1,74,86,113
1,86,69,234
1,69,32,105
1,32,71,182
1,71,66,251
1,66,78,123
1,78,70,171
1,70,89,124
1,89,66,167
1,66,190,185
1,190,160,196
1,160,191,68
1,191,32,112
1,32,82,232
1,82,32,111
1,32,76,358
1,76,72,198
1,72,69,121
1,69,85,129
1,85,74,213
1,74,86,93
1,86,69,250
1,69,32,92
1,32,74,102
1,74,188,203
1,188,72,220
1,72,70,128
1,70,80,78
1,80,69,177
1,69,32,125
1,32,186,215
1,186,66,135
1,66,80,121
1,80,89,146
1,89,66,110
1,66,160,273
1,160,191,72
1,191,32,133
1,32,82,409
1,82,32,189
1,32,76,188
1,76,72,283
1,72,69,101
1,69,85,130
1,85,74,225
1,74,86,144
1,86,69,291
1,69,32,102
1,32,72,312
1,72,70,129
1,70,67,228
1,67,71,248
1,71,66,228
1,66,67,218
1,67,70,181
1,70,89,107
1,89,66,141
1,66,190,204
1,190,160,187
1,160,191,60
1,191,32,124
1,32,89,265
1,89,84,104
1,84,32,86
1,32,188,237
1,188,84,319
1,84,85,94
1,85,70,182
1,70,90,259
1,90,32,334
1,32,84,200
1,84,186,140
1,186,84,108
1,84,86,303
1,86,66,203
1,66,89,115
1,89,69,172
1,69,78,121
1,78,89,237
1,89,74,222
1,74,32,127
1,32,82,171
1,82,32,105
1,32,68,636
1,68,84,239
1,84,67,316
1,67,70,218
1,70,86,99
1,86,32,126
1,32,66,207
1,66,32,132
1,32,89,752
1,89,84,191
1,84,32,126
1,32,71,207
1,71,74,138
1,74,76,223
1,76,67,295
1,67,88,215
1,88,66,281
1,66,78,407
1,78,83,328
1,83,68,94
1,68,70,76
1,70,190,197
1,190,8,424
1,8,90,99
1,90,32,111
1,32,67,431
1,67,78,52
1,78,72,369
1,72,70,743
1,70,76,212
1,76,70,286
1,70,75,107
1,75,77,86
1,77,88,396
1,88,84,262
1,84,67,284
1,67,82,250
1,82,66,319
1,66,32,130
1,32,82,646
1,82,70,228
1,70,75,135
1,75,74,74
1,74,72,204
1,72,66,83
1,66,66,176
1,66,32,121
1,32,68,220
1,68,32,100
1,32,72,281
1,72,84,97
1,84,67,267
1,67,78,110
1,78,74,248
1,74,72,203
1,72,70,168
1,70,89,99
1,89,84,308
1,84,191,253
1,191,32,234
1,32,160,390
1,160,78,91
1,78,74,238
1,74,32,171
1,32,186,126
1,186,84,152
1,84,32,119
1,32,72,234
1,72,70,107
1,70,188,207
1,188,74,116
1,74,78,195
1,78,70,94
1,70,84,201
1,84,78,63
1,78,160,210
1,160,191,74
1,191,32,110
1,32,82,180
1,82,74,77
1,74,85,192
1,85,76,198
1,76,70,121
1,70,32,578
1,32,69,338
1,69,88,234
1,88,66,146
1,66,73,124
1,73,77,201
1,77,67,91
1,67,90,58
1,90,32,106
1,32,71,153
1,71,72,94
1,72,74,169
1,74,85,188
1,85,72,176
1,72,70,86
1,70,86,217
1,86,86,118
1,86,66,200
1,66,72,77
1,72,74,187
1,74,68,110
1,68,70,102
1,70,78,232
1,78,77,209
1,77,191,203
1,191,32,127
1,32,161,124
1,161,84,96
1,84,67,249
1,67,75,124
1,75,66,122
1,66,32,110
1,32,68,202
1,68,83,105
1,83,32,131
1,32,219,196
1,219,74,83
1,74,78,193
1,78,66,73
1,66,78,125
1,78,84,248
1,84,32,215
1,32,67,239
1,67,78,58
1,78,70,165
1,70,78,66
1,78,77,218
1,77,32,141
1,32,68,335
1,68,84,190
1,84,188,88
1,188,189,264
1,189,72,468
1,72,70,124
1,70,80,118
1,80,72,135
1,72,70,168
1,70,188,220
1,188,74,135
1,74,78,190
1,78,88,245
1,88,82,259
1,8,66,960
1,66,82,377
