"id","key1","key2","dtime"
2,8,8,4
2,164,164,3
2,164,160,5
2,160,160,3
2,160,160,349
2,160,160,4
2,160,90,132
2,90,90,4
2,90,32,156
2,32,32,4
2,32,67,236
2,67,67,4
2,67,75,515
2,75,75,3
2,75,69,94
2,69,69,2
2,69,73,77
2,73,73,4
2,73,70,92
2,70,70,2
2,70,78,118
2,78,78,2
2,78,84,111
2,84,84,4
2,84,75,92
2,75,75,4
2,75,77,148
2,77,77,4
2,77,32,588
2,32,32,3
2,32,82,166
2,82,82,2
2,82,69,382
2,69,69,3
2,69,72,155
2,72,72,4
2,72,67,93
2,67,67,4
2,67,70,156
2,70,70,4
2,70,32,67
2,32,32,4
2,32,160,173
2,160,160,4
2,160,71,132
2,71,71,4
2,71,74,117
2,74,74,3
2,74,72,140
2,72,72,4
2,72,78,116
2,78,78,4
2,78,70,36
2,70,70,4
2,70,75,196
2,75,70,224
2,70,70,3
2,160,160,4
2,160,191,172
2,191,191,4
2,191,32,84
2,32,32,3
2,32,71,157
2,71,71,3
2,71,72,85
2,72,72,4
2,72,66,132
2,66,66,3
2,66,67,85
2,67,67,4
2,67,74,123
2,74,74,5
2,74,84,396
2,84,84,4
2,84,76,124
2,76,76,3
2,76,66,245
2,66,66,4
2,66,89,164
2,89,89,4
2,89,90,999
2,90,90,3
2,90,190,186
2,190,190,3
2,190,67,373
2,67,67,4
2,67,77,211
2,77,77,4
2,77,32,173
2,32,32,4
2,32,82,260
2,82,82,4
2,82,32,68
2,32,32,2
2,32,82,1046
2,82,82,2
2,82,74,284
2,74,74,4
2,74,85,150
2,85,85,4
2,85,74,140
2,74,74,4
2,74,72,124
2,72,72,3
2,72,74,125
2,74,74,4
2,74,78,148
2,78,78,4
2,78,84,66
2,84,84,4
2,84,32,140
2,32,32,4
2,32,67,174
2,67,67,4
2,67,75,140
2,75,75,8
2,75,69,33
2,69,69,4
2,69,73,131
2,73,73,1
2,73,70,87
2,70,70,1
2,70,78,127
2,78,78,2
2,78,84,77
2,84,84,4
2,84,75,109
2,75,75,4
2,75,84,36
2,84,81,144
2,81,160,160
2,160,160,4
2,160,191,124
2,191,191,2
2,191,32,150
2,32,32,4
2,32,67,1052
2,67,67,4
2,67,74,108
2,74,74,4
2,74,85,148
2,85,85,4
2,85,75,148
2,75,75,4
2,75,70,228
2,70,70,4
2,70,67,603
2,67,67,4
2,67,89,413
2,89,89,4
2,89,83,92
2,83,83,4
2,83,219,252
2,219,219,4
2,219,32,100
2,32,32,4
2,32,67,124
2,67,67,4
2,67,32,100
2,32,32,4
2,32,82,139
2,82,82,4
2,82,74,93
2,74,74,4
2,74,76,156
2,76,76,4
2,76,84,53
2,84,84,4
2,84,82,59
2,82,82,4
2,82,67,204
2,67,74,168
2,74,86,136
2,86,86,3
2,86,32,365
2,32,32,4
2,32,88,244
2,88,88,2
2,88,84,222
2,84,84,4
2,84,67,83
2,67,67,4
2,67,78,125
2,78,78,4
2,78,66,139
2,66,66,4
2,66,32,53
2,32,32,2
2,32,66,174
2,66,32,56
2,32,32,1
2,32,85,919
2,85,85,4
2,85,70,100
2,70,70,2
2,70,72,126
2,72,72,4
2,72,70,83
2,70,70,4
2,70,89,109
2,89,89,4
2,89,78,179
2,78,78,1
2,78,66,128
2,66,66,1
2,66,72,135
2,72,72,4
2,72,69,108
2,69,69,4
2,69,190,148
2,190,190,4
2,190,160,148
2,160,160,4
2,160,191,124
2,191,191,4
2,191,32,179
2,32,32,4
2,32,88,293
2,88,88,4
2,88,78,220
2,78,78,4
2,78,74,164
2,74,74,4
2,74,32,35
2,32,32,4
2,32,90,116
2,90,90,4
2,90,32,84
2,32,32,4
2,32,67,141
2,67,67,1
2,67,70,159
2,70,86,151
2,86,86,4
2,86,32,53
2,32,32,4
2,32,68,124
2,68,68,4
2,68,83,60
2,83,71,200
2,71,74,95
2,74,74,4
2,74,75,141
2,75,75,3
2,75,89,165
2,89,89,4
2,89,90,108
2,90,90,3
2,90,190,165
2,190,190,4
2,190,32,116
2,32,32,4
2,32,222,1367
2,222,222,4
2,222,78,241
2,78,78,4
2,78,74,124
2,74,74,4
2,74,32,84
2,32,32,4
2,32,80,180
2,80,80,4
2,80,70,84
2,70,70,4
2,70,76,68
2,76,76,4
2,76,70,108
2,70,70,4
2,70,89,92
2,89,66,152
2,66,90,90
2,90,90,4
2,90,160,585
2,160,160,4
2,160,191,341
2,191,191,4
2,191,32,59
2,32,32,5
2,32,188,179
2,188,188,4
2,188,84,117
2,84,84,5
2,84,80,107
2,80,80,3
2,80,32,93
2,32,32,4
2,32,71,211
2,71,71,4
2,71,74,125
2,74,74,4
2,74,86,92
2,86,86,4
2,86,74,100
2,74,74,3
2,74,79,196
2,79,79,4
2,79,66,77
2,66,66,8
2,66,32,896
2,32,32,4
2,32,66,194
2,66,66,4
2,66,32,53
2,32,32,6
2,32,71,123
2,71,71,4
2,71,74,99
2,74,74,4
2,74,76,165
2,76,76,4
2,76,67,28
2,67,67,4
2,67,82,108
2,82,82,1
2,82,70,159
2,70,70,1
2,70,80,79
2,80,80,4
2,80,74,211
2,74,74,4
2,74,82,93
2,82,82,4
2,82,32,123
2,32,32,4
2,32,66,1489
2,66,66,4
2,66,80,152
2,80,80,4
2,80,68,59
2,68,68,4
2,68,89,196
2,89,89,4
2,89,84,157
2,84,84,4
2,84,32,364
2,32,32,4
2,32,66,260
2,66,66,4
2,66,32,76
2,32,32,4
2,32,188,188
2,188,188,4
2,188,70,84
2,70,70,4
2,70,75,124
2,75,75,4
2,75,75,292
2,75,75,4
2,75,32,172
2,32,32,4
2,32,80,155
2,80,80,4
2,80,70,45
2,70,70,4
2,70,32,116
2,32,32,4
2,32,76,195
2,76,76,2
2,76,70,111
2,70,89,152
2,89,89,4
2,89,89,116
2,89,89,5
2,89,83,106
2,83,83,4
2,83,81,69
2,81,81,4
2,81,32,235
2,32,32,4
2,32,78,652
2,78,78,4
2,78,84,108
2,84,84,4
2,84,67,189
2,67,67,4
2,67,78,116
2,78,78,4
2,78,32,84
2,32,32,4
2,32,71,476
2,71,71,1
2,71,74,167
2,74,82,57
2,82,82,4
2,82,70,211
2,70,70,4
2,70,8,372
2,8,8,4
2,8,80,220
2,80,80,3
2,80,83,101
2,83,83,3
2,83,68,83
2,68,68,4
2,68,70,36
2,70,70,2
2,70,84,192
2,84,78,200
2,78,78,4
2,78,32,1670
2,32,32,4
2,32,66,353
2,66,66,5
2,66,86,84
2,86,86,4
2,86,84,292
2,84,84,4
2,84,89,196
2,89,89,3
2,89,89,116
2,89,89,3
2,89,74,196
2,74,74,4
2,74,32,78
2,32,32,4
2,32,86,124
2,86,86,4
2,86,74,108
2,74,74,4
2,74,84,132
2,84,84,4
2,84,32,108
2,32,32,4
2,32,80,268
2,80,80,2
2,80,89,222
2,89,89,4
2,89,70,131
2,70,70,4
2,70,89,84
2,89,89,5
2,89,66,148
2,66,66,4
2,66,84,156
2,84,84,4
2,84,32,60
2,32,32,4
2,32,71,140
2,71,71,4
2,71,72,139
2,72,72,4
2,72,76,357
2,76,76,4
2,76,86,260
2,86,86,4
2,86,84,100
2,84,84,4
2,84,78,172
2,78,78,2
2,78,70,102
2,70,70,4
2,70,32,1083
2,32,32,5
2,32,160,283
2,160,160,5
2,160,191,68
2,191,191,4
2,191,32,92
2,32,32,3
2,32,78,197
2,78,84,168
2,84,84,112
2,84,84,4
2,84,86,260
2,86,86,4
2,86,83,67
2,83,83,5
2,83,191,250
2,191,191,4
2,191,13,285
2,13,13,2
2,13,160,518
2,160,160,6
2,160,86,115
2,86,86,4
2,86,74,148
2,74,74,4
2,74,66,172
2,66,66,4
2,66,32,84
2,32,32,3
2,32,74,117
2,74,74,2
2,74,78,134
2,78,78,2
2,78,68,54
2,68,68,4
2,68,84,116
2,84,84,4
2,84,78,179
2,78,83,97
2,83,32,89
2,32,89,190
2,89,89,2
2,89,70,175
2,70,32,104
2,32,32,4
2,32,76,324
2,76,76,4
2,76,70,108
2,70,70,2
2,70,89,150
2,89,89,3
2,89,89,140
2,89,89,4
2,89,74,156
2,74,74,4
2,74,84,53
2,84,84,4
2,84,32,76
2,32,32,2
2,32,80,174
2,80,80,1
2,80,70,95
2,70,76,86
2,76,76,2
2,76,70,96
2,70,89,120
2,89,66,143
2,66,66,4
2,66,84,189
2,84,84,4
2,84,32,180
2,32,32,4
2,32,90,531
2,90,90,4
2,90,68,196
2,68,68,4
2,68,75,165
2,75,75,4
2,75,90,68
2,90,90,4
2,90,190,132
2,190,190,4
2,190,78,235
2,78,67,55
2,67,67,2
2,67,90,167
2,90,90,4
2,90,32,133
2,32,32,4
2,32,72,855
2,72,72,4
2,72,84,105
2,84,84,4
2,84,80,220
2,80,80,4
2,80,69,116
2,69,69,4
2,69,75,108
2,75,75,4
2,75,77,148
2,77,77,4
2,77,78,156
2,78,78,4
2,78,70,82
2,70,70,6
2,70,78,107
2,78,78,4
2,78,70,69
2,70,86,168
2,86,86,1
2,86,66,327
2,66,66,4
2,66,32,108
2,32,32,4
2,32,86,244
2,86,86,4
2,86,74,140
2,74,74,4
2,74,84,76
2,84,84,4
2,84,81,196
2,81,81,4
2,81,32,60
2,32,32,4
2,32,67,195
2,67,67,4
2,67,74,124
2,74,74,4
2,74,188,157
2,188,188,4
2,188,67,148
2,67,67,4
2,67,78,204
2,78,78,3
2,78,68,373
2,68,68,4
2,68,84,132
2,84,84,4
2,84,89,155
2,89,89,4
2,89,89,205
2,89,89,4
2,89,89,148
2,89,89,4
2,89,74,188
2,74,74,4
2,74,81,92
2,81,32,152
2,32,32,4
2,32,72,548
2,72,72,4
2,72,70,132
2,70,70,4
2,70,188,300
2,188,188,3
2,188,75,133
2,75,75,3
2,75,8,629
2,8,8,4
2,8,74,820
2,74,74,4
2,74,78,155
2,78,78,5
2,78,83,50
2,83,83,4
2,83,32,78
2,32,32,4
2,32,66,156
2,66,66,2
2,66,32,70
2,32,32,3
2,32,89,109
2,89,89,4
2,89,84,124
2,84,84,1
2,84,32,143
2,32,32,1
2,32,67,135
2,67,67,1
2,67,74,103
2,74,74,4
2,74,76,195
2,76,76,4
2,76,84,84
2,84,84,4
2,84,72,140
2,72,72,2
2,72,186,239
2,186,186,4
2,186,70,116
2,70,70,4
2,70,78,139
2,78,78,4
2,78,32,1824
2,32,32,4
2,32,71,184
2,71,71,4
2,71,74,85
2,74,74,3
2,74,76,189
2,76,76,4
2,76,67,69
2,67,67,4
2,67,82,123
2,82,82,2
2,82,70,222
2,70,70,3
2,70,80,276
2,80,80,4
2,80,74,197
2,74,74,4
2,74,82,82
2,82,82,4
2,82,160,158
2,160,160,3
2,160,191,204
2,191,191,5
2,191,32,260
2,32,32,4
2,32,8,963
2,8,8,5
2,8,66,219
2,66,66,4
2,66,75,197
2,75,75,4
2,75,66,68
2,66,66,4
2,66,32,52
2,32,32,4
2,32,71,148
2,71,71,2
2,71,74,109
2,74,74,5
2,74,86,83
2,86,86,6
2,86,74,75
2,74,79,176
2,79,79,1
2,79,66,102
2,66,66,4
2,8,8,5
2,8,32,106
2,32,32,4
2,8,8,4
2,8,84,1675
2,84,84,4
2,84,8,1580
2,8,8,5
2,8,8,4
2,8,70,377
2,70,70,4
2,70,80,677
2,80,80,3
2,32,32,4
2,32,67,160
2,67,67,4
2,67,74,220
2,74,74,2
2,74,32,110
2,32,32,4
2,32,67,149
2,67,67,4
2,67,78,107
2,78,78,4
2,78,74,140
