"id","key1","key2","dtime"
27,160,90,401
27,90,191,415
27,191,8,788
27,8,160,87
27,160,191,216
27,191,32,1146
27,32,67,162
27,67,75,185
27,75,69,84
27,69,73,175
27,73,70,78
27,70,78,216
27,78,84,116
27,84,75,116
27,75,77,169
27,77,32,116
27,32,82,736
27,82,69,81
27,69,72,998
27,72,67,80
27,67,70,182
27,70,32,154
27,32,160,198
27,160,160,515
27,160,160,27
27,160,160,39
27,160,160,21
27,160,71,31
27,71,74,201
27,74,72,169
27,72,78,179
27,78,70,84
27,70,75,137
27,75,70,63
27,70,160,348
27,160,160,526
27,160,160,31
27,160,160,37
27,160,160,31
27,160,160,32
27,160,191,15
27,191,32,169
27,32,71,269
27,71,72,100
27,72,66,187
27,66,67,63
27,67,74,153
27,74,84,182
27,84,76,560
27,76,66,105
27,66,89,977
27,89,90,116
27,90,190,592
27,190,67,149
27,67,77,149
27,77,32,620
27,32,82,596
27,82,32,257
27,32,82,149
27,82,74,116
27,74,85,258
27,85,74,163
27,74,72,172
27,72,78,185
27,78,84,116
27,84,32,285
27,32,67,471
27,67,75,148
27,75,69,100
27,69,73,163
27,73,70,102
27,70,78,185
27,78,84,115
27,84,75,157
27,75,84,116
27,84,81,373
27,81,160,299
27,160,191,134
27,191,32,915
27,32,67,371
27,67,74,169
27,74,85,168
27,85,75,185
27,75,70,1112
27,70,67,190
27,67,89,134
27,89,83,93
27,83,219,1174
27,219,32,1387
27,32,67,281
27,67,32,163
27,32,82,121
27,82,74,100
27,74,76,200
27,76,84,63
27,84,82,220
27,82,67,186
27,67,74,140
27,74,86,100
27,86,32,334
27,32,88,521
27,88,84,147
27,84,67,138
27,67,78,132
27,78,66,184
27,66,32,84
27,32,66,216
27,66,32,89
27,32,85,798
27,85,70,100
27,70,72,156
27,72,70,151
27,70,89,68
27,89,78,1591
27,78,66,176
27,66,72,168
27,72,69,103
27,69,190,453
27,190,160,232
27,160,160,506
27,160,160,38
27,160,160,31
27,160,160,32
27,160,160,38
27,160,160,31
27,160,160,31
27,160,160,37
27,160,160,32
27,160,160,31
27,160,160,36
27,160,160,33
27,191,32,323
27,32,88,292
27,88,78,351
27,78,74,171
27,74,32,84
27,32,90,147
27,90,32,153
27,32,67,85
27,67,70,200
27,70,86,162
27,86,32,116
27,32,68,241
27,68,83,116
27,83,71,406
27,71,74,84
27,74,75,188
27,75,89,331
27,89,90,116
27,90,190,415
27,190,32,102
27,32,222,430
27,222,78,264
27,78,74,165
27,74,32,200
27,32,80,260
27,80,70,85
27,70,76,341
27,76,70,68
27,70,89,241
27,89,66,78
27,66,84,280
27,84,160,1168
27,160,191,195
27,191,32,185
27,32,188,634
27,188,84,84
27,84,80,147
27,80,32,100
27,32,71,200
27,71,74,100
27,74,86,818
27,86,74,131
27,74,79,332
27,79,66,133
27,66,32,601
27,32,66,380
27,66,32,136
27,32,71,147
27,71,74,68
27,74,76,253
27,76,67,100
27,67,82,207
27,82,70,63
27,70,80,616
27,80,74,240
27,74,82,67
27,82,32,1840
27,32,66,257
27,66,80,135
27,80,68,342
27,68,89,132
27,89,84,130
27,84,32,1198
27,32,66,168
27,66,32,132
27,32,188,206
27,188,70,120
27,70,75,180
27,75,75,144
27,75,32,447
27,32,80,465
27,80,70,167
27,70,32,1982
27,32,76,253
27,76,70,78
27,70,89,222
27,89,89,149
27,89,83,100
27,83,81,184
27,81,32,131
27,32,78,469
27,78,84,100
27,84,67,267
27,67,78,164
27,78,32,100
27,32,71,220
27,71,74,119
27,74,82,136
27,82,70,100
27,70,80,284
27,80,83,63
27,83,68,130
27,68,70,332
27,70,84,220
27,84,78,306
27,78,32,776
27,32,66,231
27,66,86,264
27,86,84,135
27,84,89,203
27,89,89,145
27,89,74,185
27,74,32,131
27,32,86,299
27,86,74,115
27,74,84,542
27,84,32,303
27,32,80,692
27,80,70,237
27,70,89,63
27,89,8,744
27,8,8,162
27,8,89,325
27,89,70,663
27,70,89,262
27,89,66,100
27,66,84,162
27,84,32,139
27,32,71,132
27,71,72,137
27,72,84,137
27,84,76,252
27,76,86,110
27,86,84,157
27,84,78,156
27,78,70,135
27,70,164,751
27,164,160,100
27,160,191,521
27,191,164,315
27,164,160,116
27,160,78,503
27,78,84,84
27,84,86,235
27,86,83,57
27,83,191,867
27,191,13,1088
27,13,13,1319
27,13,160,173
27,160,160,521
27,160,160,31
27,160,160,32
27,160,160,42
27,160,86,17
27,86,74,176
27,74,66,150
27,66,32,131
27,32,74,657
27,74,78,196
27,78,68,100
27,68,84,148
27,84,78,225
27,78,83,117
27,83,32,996
27,32,89,421
27,89,70,102
27,70,32,116
27,32,76,262
27,76,70,70
27,70,89,327
27,89,74,184
27,74,84,116
27,84,32,140
27,32,80,300
27,80,70,79
27,70,76,168
27,76,70,100
27,70,89,203
27,89,66,98
27,66,84,131
27,84,32,738
27,32,90,133
27,90,32,229
27,32,8,720
27,8,68,692
27,68,75,268
27,75,90,84
27,90,190,321
27,190,78,270
27,78,67,100
27,67,90,131
27,90,32,961
27,32,72,366
27,72,84,84
27,84,80,345
27,80,69,62
27,69,75,243
27,75,77,179
27,77,78,353
27,78,70,88
27,70,78,179
27,78,70,400
27,70,86,185
27,86,66,169
27,66,32,102
27,32,86,1095
27,86,74,137
27,74,84,83
27,84,81,402
27,81,32,183
27,67,74,406
27,74,188,321
27,188,67,202
27,67,78,113
27,78,68,147
27,68,84,137
27,84,89,171
27,89,89,726
27,89,74,218
27,74,81,131
27,81,32,256
27,32,72,777
27,72,70,114
27,70,188,232
27,188,74,201
27,74,78,172
27,78,83,85
27,83,32,614
27,32,66,209
27,66,32,101
27,32,89,353
27,89,84,206
27,84,32,149
27,32,67,142
27,67,74,134
27,74,76,238
27,76,84,97
27,84,72,203
27,72,186,299
27,186,70,115
27,70,78,185
27,78,32,1038
27,71,74,116
27,74,76,234
27,76,67,102
27,67,82,144
27,82,70,88
27,70,80,422
27,80,74,247
27,74,82,84
27,82,32,554
27,32,66,396
27,66,75,154
27,75,66,70
27,66,32,166
27,32,71,117
27,71,74,121
27,74,86,802
27,86,74,121
27,74,79,1890
27,79,66,127
27,66,32,937
27,32,67,199
27,67,74,80
27,74,32,147
27,32,67,340
27,67,78,131
27,78,74,169
27,74,72,169
27,72,74,149
27,74,89,184
27,89,83,100
27,83,191,831
27,191,32,538
27,32,160,301
27,160,90,194
27,90,32,469
27,32,71,152
27,71,72,80
27,72,66,168
27,66,67,69
27,67,74,147
27,74,84,169
